5052, WC, NaN, NaN, Python 3, 852
1826, AC, 33148, 104, Python 3, 633
14888, AC, 2016, 0, C++17, 934
9498, WC, NaN, NaN, C++17, 226
11729, AC, 120480, 1632, Python 3, 260
10250, AC, 28776, 72, Python 3, 448
1929, AC, 39140, 692, Python 3, 433
2933, WC, NaN, NaN, Java 8, 2658
2588, WC, NaN, NaN, Python 3, 145
1037, WC, NaN, NaN, Python 3, 369
1316, WC, NaN, NaN, node.js, 665
2557, WC, NaN, NaN, Java 11, 129
2501, WC, NaN, NaN, C11, 353
10171, WC, NaN, NaN, Python 3, 73
12851, WC, NaN, NaN, C++17, 1148
1463, WC, NaN, NaN, Java 8, 645
14888, WC, NaN, NaN, C++17, 944
4344, WC, NaN, NaN, C99, 575
2589, AC, 298804, 708, Java 11, 2281
5525, WC, NaN, NaN, C++17, 409
14888, WC, NaN, NaN, PyPy3, 929
1261, WC, NaN, NaN, C++17, 1983
11652, AC, 2676, 120, C++17, 536
10951, AC, 28776, 76, Python 3, 104
10872, AC, 14580, 132, Java 11, 422
2751, WC, NaN, NaN, Python 3, 1113
5525, WC, NaN, NaN, C++14, 627
3273, AC, 33756, 332, Java 8, 999
1013, WC, NaN, NaN, Java 11, 1597
9663, WC, NaN, NaN, Java 11, 2161
6086, WC, NaN, NaN, C++17, 1740
2170, AC, 14316, 520, C++17, 746
10872, AC, 18128, 224, Java 11, 282
12851, WC, NaN, NaN, C++17, 1148
1316, WC, NaN, NaN, node.js, 665
1920, WC, NaN, NaN, Python 3, 109
14888, AC, 3564, 4, C++17, 1117
1309, AC, 51572, 216, Python 3, 480
4344, WC, NaN, NaN, C# 9.0 (.NET), 919
7568, WC, NaN, NaN, Python 3, 845
1525, AC, 191336, 724, PyPy3, 844
2579, WC, NaN, NaN, C++11, 476
9498, WC, NaN, NaN, C++17, 239
1389, AC, 11692, 92, Java 8, 1865
2581, AC, 14436, 132, Java 11, 1843
5337, AC, 2016, 0, C++17, 207
2580, AC, 26644, 496, Java 11, 1877
2439, AC, 28776, 64, Python 3, 77
11265, WC, NaN, NaN, Python 3, 517
1781, WC, NaN, NaN, Swift, 365
10944, WC, NaN, NaN, Text, 1
10952, WC, NaN, NaN, Python 3, 135
2475, AC, 28776, 68, Python 3, 134
1629, AC, 28776, 64, Python 3, 296
16437, WC, NaN, NaN, Java 11, 1602
1668, AC, 121220, 116, PyPy3, 292
10171, WC, NaN, NaN, Python 3, 68
1316, WC, NaN, NaN, node.js, 661
1654, WC, NaN, NaN, C++17, 1054
6588, WC, NaN, NaN, Java 11, 1315
14888, WC, NaN, NaN, C++17, 1109
1260, AC, 2308, 0, C++17, 921
4949, WC, NaN, NaN, PyPy3, 936
2562, WC, NaN, NaN, Python 3, 142
2644, WC, NaN, NaN, Python 3, 723
11505, WC, NaN, NaN, C++14, 1264
2557, WC, NaN, NaN, Java 11, 115
15684, WC, NaN, NaN, PyPy3, 1780
1525, WC, NaN, NaN, PyPy3, 845
8437, WC, NaN, NaN, Java 11, 485
7576, WC, NaN, NaN, C++17, 2571
11720, WC, NaN, NaN, C++17, 174
1600, WC, NaN, NaN, Python 3, 1156
2439, WC, NaN, NaN, Python 3, 68
15829, WC, NaN, NaN, C++17, 528
2170, WC, NaN, NaN, C++17, 569
5052, WC, NaN, NaN, Python 3, 852
2110, AC, 32628, 4592, Python 3, 497
10944, WC, NaN, NaN, Text, 1
10950, WC, NaN, NaN, Python 3, 93
2420, AC, 18232, 240, Java 11, 316
5597, AC, 2016, 0, C++17, 1646
13544, WC, NaN, NaN, C++17, 1666
1316, WC, NaN, NaN, node.js, 628
2740, AC, 2160, 4, C++17, 727
16930, WC, NaN, NaN, PyPy3, 5246
2750, AC, 2016, 0, C++17, 621
10870, AC, 1116, 0, C99, 235
2539, AC, 2024, 0, C++20, 931
2577, AC, 2016, 0, C++17, 693
2581, AC, 18252, 424, Java 11, 544
1826, WC, NaN, NaN, Python 3, 636
4344, AC, 28776, 72, Python 3, 304
9465, AC, 111700, 756, Java 11, 1081
2751, AC, 2256, 240, C++14, 495
2557, WC, NaN, NaN, Java 11, 114
1697, AC, 130784, 160, PyPy3, 474
2420, WC, NaN, NaN, Java 11, 315
9498, WC, NaN, NaN, Python 3, 191
16437, WC, NaN, NaN, Java 11, 1599
